Timestamp,Device_ID,Device_Type,Parameter_Changed,New_Value,Trigger_Source,Outdoor_Temp_C,Feels_Like_Temp_C,Humidity_Pct,Wind_Speed_kmh,Cloud_Cover_Pct,UV_Index,Is_Raining,Minutes_Since_Sunset,Minutes_To_Sunrise,Is_Daylight,room,device_name,device_kind,Old_Value,previous_automation
2026-01-01 06:20:00,Garden_Irrigation_1,Smart Irrigation Controller,Zone 1 State,On,Human,24.4,20.4,53.0,5.0,21.0,0.0,0,-712.0,52.0,0,,,,,
2026-01-01 06:58:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human,20.5,21.5,64.0,13.2,25.0,0.0,0,-674.0,14.0,0,,,,,
2026-01-01 06:59:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human,23.3,22.0,54.0,5.4,9.0,0.0,0,-673.0,13.0,0,,,,,
2026-01-01 07:00:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Med,Human,27.9,19.7,46.0,17.0,9.0,0.0,0,-672.0,12.0,0,,,,,
2026-01-01 07:22:58,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,71,Human,22.0,15.9,56.0,7.7,9.0,0.0,0,-649.0,-11.0,1,,,,,
2026-01-01 08:04:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human,23.9,17.5,58.0,15.4,20.0,5.0,0,-608.0,-52.0,1,,,,,
2026-01-01 08:05:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human,25.6,21.9,46.0,18.3,21.0,6.2,0,-607.0,-53.0,1,,,,,
2026-01-01 08:57:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human,25.0,18.6,46.0,9.7,22.0,4.4,0,-555.0,-105.0,1,,,,,
2026-01-01 18:00:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,50,Automation,20.9,22.4,61.0,4.9,21.0,0.0,0,-12.0,-648.0,1,,,,,
2026-01-01 18:08:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human,23.4,20.5,61.0,15.1,16.0,0.0,0,-4.0,-656.0,1,,,,,
2026-01-01 18:25:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human,19.8,19.2,54.0,13.9,18.0,0.0,0,13.0,-673.0,0,,,,,
2026-01-01 18:26:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human,23.2,16.2,54.0,11.8,13.0,0.0,0,14.0,-674.0,0,,,,,
2026-01-01 18:27:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3500,Human,20.3,25.3,54.0,15.4,32.0,0.0,0,15.0,-675.0,0,,,,,
2026-01-01 19:05:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human,21.2,21.5,51.0,16.9,9.0,0.0,0,53.0,-713.0,0,,,,,
2026-01-01 21:50:00,Bedroom_LED_2,Smart LED Bulb,Power State,On,Human,21.9,18.7,59.0,7.3,27.0,0.0,0,218.0,-720.0,0,,,,,
2026-01-01 21:51:00,Bedroom_LED_2,Smart LED Bulb,Brightness,50,Human,22.7,20.5,50.0,18.2,16.0,0.0,0,219.0,-720.0,0,,,,,
2026-01-01 21:52:00,Bedroom_LED_2,Smart LED Bulb,Color Temperature,2700,Human,24.1,18.9,56.0,16.2,24.0,0.0,0,220.0,-720.0,0,,,,,
2026-01-01 22:21:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,21,Human,23.5,22.3,59.0,11.4,32.0,0.0,0,249.0,-720.0,0,,,,,
2026-01-01 22:22:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human,22.3,22.6,50.0,11.5,13.0,0.0,0,250.0,-720.0,0,,,,,
2026-01-01 22:35:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human,24.3,17.5,64.0,15.6,18.0,0.0,0,263.0,-720.0,0,,,,,
2026-01-01 23:04:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human,21.6,21.3,54.0,18.1,29.0,0.0,0,292.0,-720.0,0,,,,,
2026-01-01 23:06:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human,24.4,23.2,47.0,17.6,9.0,0.0,0,294.0,-720.0,0,,,,,
2026-01-01 23:07:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human,23.3,22.8,46.0,14.4,34.0,0.0,0,295.0,-720.0,0,,,,,
2026-01-02 06:28:00,Garden_Irrigation_1,Smart Irrigation Controller,Zone 1 State,On,Human,22.4,17.7,48.0,13.4,18.0,0.0,0,-704.6,44.3,0,,,,,
2026-01-02 07:04:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,23,Human,19.9,18.2,64.0,12.9,13.0,0.0,0,-668.6,8.3,0,,,,,
2026-01-02 07:05:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human,21.5,22.1,54.0,10.7,16.0,0.0,0,-667.6,7.3,0,,,,,
2026-01-02 07:06:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,High,Human,24.5,19.2,52.0,8.7,18.0,0.0,0,-666.6,6.3,0,,,,,
2026-01-02 07:37:18,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,89,Human,23.7,16.6,48.0,11.6,15.0,0.0,0,-635.3,-25.0,1,,,,,
2026-01-02 08:02:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human,23.0,20.5,45.0,1.8,11.0,5.8,0,-610.6,-49.7,1,,,,,
2026-01-02 08:03:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human,23.5,22.2,56.0,12.7,5.0,5.9,0,-609.6,-50.7,1,,,,,
2026-01-02 08:55:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human,23.1,18.8,64.0,12.9,17.0,5.0,0,-557.6,-102.7,1,,,,,
2026-01-02 12:00:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,26,Automation,21.3,21.7,64.0,6.0,9.0,7.3,0,-372.6,-287.7,1,,,,,
2026-01-02 17:55:37,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human,24.6,22.7,56.0,14.3,5.0,7.0,0,-17.0,-643.3,1,,,,,
2026-01-02 18:24:37,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human,22.2,21.5,47.0,13.2,7.0,0.0,0,12.0,-672.3,0,,,,,
2026-01-02 18:25:37,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human,22.6,23.1,56.0,15.3,34.0,0.0,0,13.0,-673.3,0,,,,,
2026-01-02 18:26:37,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human,21.0,21.0,63.0,10.1,13.0,0.0,0,14.0,-674.3,0,,,,,
2026-01-02 18:52:37,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human,19.7,21.3,54.0,11.3,19.0,0.0,0,40.0,-700.3,0,,,,,
2026-01-02 21:56:00,Bedroom_LED_2,Smart LED Bulb,Power State,On,Human,20.7,17.4,60.0,7.3,29.0,0.0,0,223.4,-720.0,0,,,,,
2026-01-02 21:57:00,Bedroom_LED_2,Smart LED Bulb,Brightness,40,Human,24.4,21.7,50.0,10.4,13.0,0.0,0,224.4,-720.0,0,,,,,
2026-01-02 21:58:00,Bedroom_LED_2,Smart LED Bulb,Color Temperature,3000,Human,21.0,19.3,58.0,14.3,20.0,0.0,0,225.4,-720.0,0,,,,,
2026-01-02 22:18:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,21,Human,25.1,18.2,47.0,8.4,26.0,0.0,0,245.4,-720.0,0,,,,,
